train_id,train_type,section_id,arrival_time,departure_time,train_priority,date
TRN001,Express,A1,08:30,08:40,High,2026-09-08
TRN002,Goods,A1,09:30,09:45,Medium,2026-09-08
TRN003,Passenger,A1,12:30,12:40,High,2026-09-08
TRN004,Express,A1,14:30,14:40,High,2026-09-08
TRN005,Goods,A2,08:00,08:15,Medium,2026-09-09
TRN006,Express,A2,12:45,13:00,High,2026-09-09
TRN007,Passenger,A2,15:00,15:10,High,2026-09-09
TRN008,Goods,A2,17:30,17:45,Medium,2026-09-09
TRN009,Express,A3,09:00,09:10,High,2026-09-11
TRN010,Goods,A3,12:30,12:45,Medium,2026-09-11
TRN011,Passenger,A3,14:30,14:40,High,2026-09-11
TRN012,Express,A3,18:00,18:10,High,2026-09-11
TRN013,Goods,A4,08:30,08:45,Medium,2026-09-07
TRN014,Express,A4,12:30,12:40,High,2026-09-07
TRN015,Passenger,A4,16:00,16:10,High,2026-09-07
TRN016,Goods,A4,18:30,18:45,Medium,2026-09-08
TRN017,Express,A5,08:00,08:10,High,2026-09-10
TRN018,Goods,A5,11:30,11:45,Medium,2026-09-10
TRN019,Passenger,A5,15:00,15:10,High,2026-09-10
TRN020,Express,A5,18:00,18:10,High,2026-09-11
TRN021,Goods,A6,08:30,08:45,Medium,2026-09-13
TRN022,Express,A6,12:00,12:10,High,2026-09-13
TRN023,Passenger,A6,15:30,15:40,High,2026-09-13
TRN024,Goods,A6,18:00,18:15,Medium,2026-09-14
