section_id,date,window_start,window_end,window_duration,availability_status
A1,2026-09-08,09:00,09:30,30,Available
A1,2026-09-08,10:00,12:00,120,Available
A1,2026-09-08,12:40,14:20,100,Available
A2,2026-09-09,08:15,08:45,30,Available
A2,2026-09-09,12:00,12:45,45,Available
A2,2026-09-09,13:00,15:00,120,Available
A3,2026-09-11,09:10,12:30,200,Available
A3,2026-09-11,12:45,14:30,105,Available
A3,2026-09-11,14:40,18:00,200,Available
A4,2026-09-07,08:45,12:30,225,Available
A4,2026-09-07,12:40,16:00,200,Available
A4,2026-09-08,08:45,10:00,75,Available
A5,2026-09-10,08:10,11:30,200,Available
A5,2026-09-10,11:45,15:00,195,Available
A5,2026-09-10,15:10,18:00,170,Available
A6,2026-09-13,08:45,12:00,195,Available
A6,2026-09-13,12:10,15:30,200,Available
A6,2026-09-13,15:40,18:00,140,Available
