task_id,department,section_id,priority_score,priority_level,maintenance_duration,window_date,window_start,window_end,window_duration
TMS001,Engineering,A1,61,Critical,120,2026-09-08,10:00,12:00,120
TMS006,Engineering,A3,51,High,150,2026-09-11,09:10,12:30,200
TMS006,Engineering,A3,51,High,150,2026-09-11,14:40,18:00,200
TMS010,Engineering,A5,49,High,120,2026-09-10,08:10,11:30,200
TMS010,Engineering,A5,49,High,120,2026-09-10,11:45,15:00,195
TMS010,Engineering,A5,49,High,120,2026-09-10,15:10,18:00,170
TMS012,Engineering,A6,44,Medium,150,2026-09-13,08:45,12:00,195
TMS012,Engineering,A6,44,Medium,150,2026-09-13,12:10,15:30,200
SMMS007,S&T,A4,74,Critical,180,2026-09-07,08:45,12:30,225
SMMS007,S&T,A4,74,Critical,180,2026-09-07,12:40,16:00,200
TDMS007,TRD,A4,74,Critical,150,2026-09-07,08:45,12:30,225
TDMS007,TRD,A4,74,Critical,150,2026-09-07,12:40,16:00,200
