task_id,asset_id,section_id,defect_type,severity,reported_date,due_date,maintenance_duration,status
TMS001,TRK-A101,A1,Rail Crack,Critical,2026-09-01,2026-09-10,120,Open
TMS002,TRK-A102,A1,Ballast Defect,Medium,2026-09-02,2026-09-15,90,Open
TMS003,TRK-B201,A2,Track Geometry,Critical,2026-09-03,2026-09-09,180,Open
TMS004,TRK-B202,A2,Sleeper Damage,High,2026-09-01,2026-09-12,120,Open
TMS005,TRK-C301,A3,Rail Wear,Medium,2026-09-04,2026-09-20,90,Open
TMS006,TRK-C302,A3,Joint Failure,High,2026-09-02,2026-09-11,150,Open
TMS007,TRK-D401,A4,Ballast Defect,Low,2026-09-05,2026-09-25,60,Open
TMS008,TRK-D402,A4,Rail Crack,Critical,2026-08-30,2026-09-08,180,Overdue
TMS009,TRK-E501,A5,Sleeper Damage,Medium,2026-09-03,2026-09-18,90,Open
TMS010,TRK-E502,A5,Track Geometry,High,2026-09-01,2026-09-10,120,Open
TMS011,TRK-F601,A6,Rail Wear,Low,2026-09-05,2026-09-30,60,Open
TMS012,TRK-F602,A6,Joint Failure,High,2026-09-02,2026-09-13,150,Open
