block_request_id,task_id,department,section_id,requested_date,requested_start,requested_end,duration,reason
BDMS001,TMS001,Engineering,A1,2026-09-08,10:00,12:00,120,Rail crack maintenance
BDMS002,SMMS001,S&T,A1,2026-09-09,11:00,12:00,60,Signal lamp replacement
BDMS003,TDMS001,TRD,A1,2026-09-10,13:00,15:00,120,Insulator maintenance
BDMS004,TMS003,Engineering,A2,2026-09-09,09:00,12:00,180,Track geometry correction
BDMS005,SMMS003,S&T,A2,2026-09-09,10:00,12:30,150,Track circuit maintenance
BDMS006,TDMS003,TRD,A2,2026-09-10,14:00,16:30,150,Contact wire maintenance
BDMS007,TMS004,Engineering,A2,2026-09-11,08:00,10:00,120,Sleeper replacement
BDMS008,SMMS005,S&T,A3,2026-09-12,10:00,12:00,120,Point machine maintenance
BDMS009,TDMS005,TRD,A3,2026-09-12,11:00,14:00,180,Traction transformer maintenance
BDMS010,TMS006,Engineering,A3,2026-09-11,15:00,17:30,150,Joint failure repair
BDMS011,SMMS007,S&T,A4,2026-09-07,09:00,12:00,180,Interlocking fault repair
BDMS012,TDMS007,TRD,A4,2026-09-07,13:00,15:30,150,Insulator damage repair
BDMS013,TMS008,Engineering,A4,2026-09-08,10:00,13:00,180,Rail crack repair
BDMS014,SMMS008,S&T,A4,2026-09-13,14:00,16:30,150,Track circuit maintenance
BDMS015,TDMS008,TRD,A4,2026-09-13,10:00,12:00,120,Section insulator repair
BDMS016,TMS010,Engineering,A5,2026-09-10,09:00,11:00,120,Track geometry maintenance
BDMS017,SMMS010,S&T,A5,2026-09-11,13:00,15:00,120,Point machine maintenance
BDMS018,TDMS010,TRD,A5,2026-09-11,10:00,13:00,180,Traction transformer maintenance
BDMS019,TMS012,Engineering,A6,2026-09-13,09:00,11:30,150,Joint failure repair
BDMS020,SMMS012,S&T,A6,2026-09-14,14:00,17:00,180,Interlocking maintenance
