task_id,asset_id,section_id,fault_type,severity,reported_date,due_date,maintenance_duration,status
SMMS001,SIG-A101,A1,Signal Lamp Failure,High,2026-09-01,2026-09-10,60,Open
SMMS002,SIG-A102,A1,Point Machine Fault,Critical,2026-09-02,2026-09-08,120,Open
SMMS003,SIG-B201,A2,Track Circuit Failure,Critical,2026-09-03,2026-09-09,150,Open
SMMS004,SIG-B202,A2,Signal Cable Fault,Medium,2026-09-04,2026-09-18,90,Open
SMMS005,SIG-C301,A3,Point Machine Fault,High,2026-09-01,2026-09-12,120,Open
SMMS006,SIG-C302,A3,Signal Lamp Failure,Low,2026-09-05,2026-09-25,60,Open
SMMS007,SIG-D401,A4,Interlocking Fault,Critical,2026-08-31,2026-09-07,180,Overdue
SMMS008,SIG-D402,A4,Track Circuit Failure,High,2026-09-02,2026-09-13,150,Open
SMMS009,SIG-E501,A5,Signal Cable Fault,Medium,2026-09-03,2026-09-20,90,Open
SMMS010,SIG-E502,A5,Point Machine Fault,High,2026-09-02,2026-09-11,120,Open
SMMS011,SIG-F601,A6,Signal Lamp Failure,Low,2026-09-05,2026-09-28,60,Open
SMMS012,SIG-F602,A6,Interlocking Fault,High,2026-09-01,2026-09-14,180,Open
