task_id,department,asset_type,location,defect_severity,days_overdue,asset_criticality,maintenance_duration,safety_impact,train_frequency,priority_level
T001,Engineering,Track,KM120,5,20,5,2,5,80,Critical
T002,S&T,Signal,KM120,5,15,5,1,5,75,Critical
T003,Traction,OHE,KM150,4,12,4,2,4,65,High
T004,Engineering,Track,KM180,2,2,2,1,2,20,Low
T005,S&T,Signal,KM190,3,8,3,2,3,40,Medium
T006,Traction,OHE,KM200,5,18,5,3,5,85,Critical
T007,Engineering,Bridge,KM210,4,10,5,4,5,70,Critical
T008,S&T,Signal,KM220,2,3,2,1,2,25,Low
T009,Traction,OHE,KM230,3,7,4,2,3,50,Medium
T010,Engineering,Track,KM240,4,11,4,2,4,60,High
T011,S&T,Signal,KM250,4,9,5,1,5,72,High
T012,Traction,OHE,KM260,2,1,2,1,2,18,Low
T013,Engineering,Track,KM270,3,6,3,2,3,45,Medium
T014,S&T,Signal,KM280,5,21,5,2,5,90,Critical
T015,Traction,OHE,KM290,4,13,4,3,4,67,High
T016,Engineering,Bridge,KM300,2,4,2,2,2,30,Low
T017,S&T,Signal,KM310,3,5,3,1,3,42,Medium
T018,Traction,OHE,KM320,5,17,5,2,5,82,Critical
T019,Engineering,Track,KM330,4,8,4,2,4,58,High
T020,S&T,Signal,KM340,3,7,3,1,3,38,Medium
