task_id,department,section_id,priority_score,priority_level,maintenance_duration,window_date,window_start,window_end,window_duration,unused_window_minutes,window_efficiency_score,priority_bonus,matching_score
TMS001,Engineering,A1,61,Critical,120,2026-09-08,10:00,12:00,120,0,1.0,20,91.0
TMS006,Engineering,A3,51,High,150,2026-09-11,09:10,12:30,200,50,0.75,15,73.5
TMS006,Engineering,A3,51,High,150,2026-09-11,14:40,18:00,200,50,0.75,15,73.5
SMMS007,S&T,A4,74,Critical,180,2026-09-07,12:40,16:00,200,20,0.9,20,103.0
SMMS007,S&T,A4,74,Critical,180,2026-09-07,08:45,12:30,225,45,0.8,20,102.0
TDMS007,TRD,A4,74,Critical,150,2026-09-07,12:40,16:00,200,50,0.75,20,101.5
TDMS007,TRD,A4,74,Critical,150,2026-09-07,08:45,12:30,225,75,0.6666666666666666,20,100.66666666666669
TMS010,Engineering,A5,49,High,120,2026-09-10,15:10,18:00,170,50,0.7058823529411765,15,71.05882352941177
TMS010,Engineering,A5,49,High,120,2026-09-10,11:45,15:00,195,75,0.6153846153846154,15,70.15384615384616
TMS010,Engineering,A5,49,High,120,2026-09-10,08:10,11:30,200,80,0.6,15,70.0
TMS012,Engineering,A6,44,Medium,150,2026-09-13,08:45,12:00,195,45,0.7692307692307693,10,61.69230769230769
TMS012,Engineering,A6,44,Medium,150,2026-09-13,12:10,15:30,200,50,0.75,10,61.5
