task_id,department,section_id,priority_score,priority_level,maintenance_duration,window_date,window_start,window_end,window_duration,maintenance_start,maintenance_end,unused_window_minutes
TMS001,Engineering,A1,61,Critical,120,2026-09-08,10:00,12:00,120,10:00,12:00,0
TMS006,Engineering,A3,51,High,150,2026-09-11,09:10,12:30,200,09:10,11:40,50
TMS006,Engineering,A3,51,High,150,2026-09-11,14:40,18:00,200,14:40,17:10,50
TMS010,Engineering,A5,49,High,120,2026-09-10,08:10,11:30,200,08:10,10:10,80
TMS010,Engineering,A5,49,High,120,2026-09-10,11:45,15:00,195,11:45,13:45,75
TMS010,Engineering,A5,49,High,120,2026-09-10,15:10,18:00,170,15:10,17:10,50
TMS012,Engineering,A6,44,Medium,150,2026-09-13,08:45,12:00,195,08:45,11:15,45
TMS012,Engineering,A6,44,Medium,150,2026-09-13,12:10,15:30,200,12:10,14:40,50
SMMS007,S&T,A4,74,Critical,180,2026-09-07,08:45,12:30,225,08:45,11:45,45
SMMS007,S&T,A4,74,Critical,180,2026-09-07,12:40,16:00,200,12:40,15:40,20
TDMS007,TRD,A4,74,Critical,150,2026-09-07,08:45,12:30,225,08:45,11:15,75
TDMS007,TRD,A4,74,Critical,150,2026-09-07,12:40,16:00,200,12:40,15:10,50
