rank,task_id,priority_level,priority_score
1,SMMS006,Low,1.0
2,SMMS011,Low,1.0
3,SMMS007,Critical,0.98
4,TDMS012,Medium,0.98
5,SMMS004,Low,0.98
6,TDMS006,Low,0.98
7,TDMS011,Low,0.98
8,SMMS009,Low,0.98
9,TMS007,Low,0.97
10,TDMS009,Low,0.97
11,TMS011,Low,0.97
12,TMS008,Critical,0.96
13,TDMS008,Medium,0.96
14,TDMS004,Low,0.96
15,SMMS008,Medium,0.95
16,TDMS007,Critical,0.94
17,TMS005,Low,0.94
18,SMMS010,High,0.94
19,TMS009,Low,0.94
20,TDMS002,Critical,0.92
21,TMS012,Medium,0.92
22,SMMS005,High,0.91
23,TDMS001,High,0.9
24,TMS004,High,0.88
25,SMMS012,Medium,0.87
26,SMMS001,High,0.84
27,TMS002,Medium,0.84
28,SMMS002,Critical,0.82
29,TDMS010,High,0.82
30,TMS001,Critical,0.78
31,TDMS003,High,0.77
32,SMMS003,High,0.77
33,TMS006,High,0.75
34,TDMS005,High,0.74
35,TMS003,High,0.72
36,TMS010,High,0.68
