task_id,department,section_id,priority_score,priority_level,maintenance_duration,window_date,window_start,window_end,window_duration,maintenance_start,maintenance_end,unused_window_minutes,window_efficiency_score,priority_bonus,matching_score
SMMS007,S&T,A4,74,Critical,180,2026-09-07,12:40,16:00,200,12:40,15:40,20,0.9,20,103.0
SMMS007,S&T,A4,74,Critical,180,2026-09-07,08:45,12:30,225,08:45,11:45,45,0.8,20,102.0
TDMS007,TRD,A4,74,Critical,150,2026-09-07,12:40,16:00,200,12:40,15:10,50,0.75,20,101.5
TDMS007,TRD,A4,74,Critical,150,2026-09-07,08:45,12:30,225,08:45,11:15,75,0.6666666666666666,20,100.66666666666667
TMS001,Engineering,A1,61,Critical,120,2026-09-08,10:00,12:00,120,10:00,12:00,0,1.0,20,91.0
TMS006,Engineering,A3,51,High,150,2026-09-11,09:10,12:30,200,09:10,11:40,50,0.75,15,73.5
TMS006,Engineering,A3,51,High,150,2026-09-11,14:40,18:00,200,14:40,17:10,50,0.75,15,73.5
TMS010,Engineering,A5,49,High,120,2026-09-10,15:10,18:00,170,15:10,17:10,50,0.7058823529411765,15,71.05882352941177
TMS010,Engineering,A5,49,High,120,2026-09-10,11:45,15:00,195,11:45,13:45,75,0.6153846153846154,15,70.15384615384616
TMS010,Engineering,A5,49,High,120,2026-09-10,08:10,11:30,200,08:10,10:10,80,0.6,15,70.0
TMS012,Engineering,A6,44,Medium,150,2026-09-13,08:45,12:00,195,08:45,11:15,45,0.7692307692307693,10,61.69230769230769
TMS012,Engineering,A6,44,Medium,150,2026-09-13,12:10,15:30,200,12:10,14:40,50,0.75,10,61.5
