task_id,source_system,department,asset_id,section_id,maintenance_type,severity,reported_date,due_date,maintenance_duration,status
TMS001,TMS,Engineering,TRK-A101,A1,Rail Crack,Critical,2026-09-01,2026-09-10,120,Open
TMS002,TMS,Engineering,TRK-A102,A1,Ballast Defect,Medium,2026-09-02,2026-09-15,90,Open
TMS003,TMS,Engineering,TRK-B201,A2,Track Geometry,Critical,2026-09-03,2026-09-09,180,Open
TMS004,TMS,Engineering,TRK-B202,A2,Sleeper Damage,High,2026-09-01,2026-09-12,120,Open
TMS005,TMS,Engineering,TRK-C301,A3,Rail Wear,Medium,2026-09-04,2026-09-20,90,Open
TMS006,TMS,Engineering,TRK-C302,A3,Joint Failure,High,2026-09-02,2026-09-11,150,Open
TMS007,TMS,Engineering,TRK-D401,A4,Ballast Defect,Low,2026-09-05,2026-09-25,60,Open
TMS008,TMS,Engineering,TRK-D402,A4,Rail Crack,Critical,2026-08-30,2026-09-08,180,Overdue
TMS009,TMS,Engineering,TRK-E501,A5,Sleeper Damage,Medium,2026-09-03,2026-09-18,90,Open
TMS010,TMS,Engineering,TRK-E502,A5,Track Geometry,High,2026-09-01,2026-09-10,120,Open
TMS011,TMS,Engineering,TRK-F601,A6,Rail Wear,Low,2026-09-05,2026-09-30,60,Open
TMS012,TMS,Engineering,TRK-F602,A6,Joint Failure,High,2026-09-02,2026-09-13,150,Open
SMMS001,SMMS,S&T,SIG-A101,A1,Signal Lamp Failure,High,2026-09-01,2026-09-10,60,Open
SMMS002,SMMS,S&T,SIG-A102,A1,Point Machine Fault,Critical,2026-09-02,2026-09-08,120,Open
SMMS003,SMMS,S&T,SIG-B201,A2,Track Circuit Failure,Critical,2026-09-03,2026-09-09,150,Open
SMMS004,SMMS,S&T,SIG-B202,A2,Signal Cable Fault,Medium,2026-09-04,2026-09-18,90,Open
SMMS005,SMMS,S&T,SIG-C301,A3,Point Machine Fault,High,2026-09-01,2026-09-12,120,Open
SMMS006,SMMS,S&T,SIG-C302,A3,Signal Lamp Failure,Low,2026-09-05,2026-09-25,60,Open
SMMS007,SMMS,S&T,SIG-D401,A4,Interlocking Fault,Critical,2026-08-31,2026-09-07,180,Overdue
SMMS008,SMMS,S&T,SIG-D402,A4,Track Circuit Failure,High,2026-09-02,2026-09-13,150,Open
SMMS009,SMMS,S&T,SIG-E501,A5,Signal Cable Fault,Medium,2026-09-03,2026-09-20,90,Open
SMMS010,SMMS,S&T,SIG-E502,A5,Point Machine Fault,High,2026-09-02,2026-09-11,120,Open
SMMS011,SMMS,S&T,SIG-F601,A6,Signal Lamp Failure,Low,2026-09-05,2026-09-28,60,Open
SMMS012,SMMS,S&T,SIG-F602,A6,Interlocking Fault,High,2026-09-01,2026-09-14,180,Open
TDMS001,TDMS,TRD,OHE-A101,A1,Insulator Damage,High,2026-09-01,2026-09-10,120,Open
TDMS002,TDMS,TRD,OHE-A102,A1,Oil Leakage,Critical,2026-09-02,2026-09-08,180,Open
TDMS003,TDMS,TRD,OHE-B201,A2,Contact Wire Wear,Critical,2026-09-03,2026-09-09,150,Open
TDMS004,TDMS,TRD,OHE-B202,A2,Insulator Damage,Medium,2026-09-04,2026-09-18,90,Open
TDMS005,TDMS,TRD,OHE-C301,A3,Oil Leakage,High,2026-09-01,2026-09-12,180,Open
TDMS006,TDMS,TRD,OHE-C302,A3,Contact Wire Wear,Low,2026-09-05,2026-09-25,90,Open
TDMS007,TDMS,TRD,OHE-D401,A4,Insulator Damage,Critical,2026-08-30,2026-09-07,150,Overdue
TDMS008,TDMS,TRD,OHE-D402,A4,Mechanical Damage,High,2026-09-02,2026-09-13,120,Open
TDMS009,TDMS,TRD,OHE-E501,A5,Contact Wire Wear,Medium,2026-09-03,2026-09-20,90,Open
TDMS010,TDMS,TRD,OHE-E502,A5,Oil Leakage,High,2026-09-02,2026-09-11,180,Open
TDMS011,TDMS,TRD,OHE-F601,A6,Mechanical Damage,Low,2026-09-05,2026-09-28,90,Open
TDMS012,TDMS,TRD,OHE-F602,A6,Insulator Damage,High,2026-09-01,2026-09-14,120,Open
